filename|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U17_119_2022.json|3|||legislation|nazionale|42 DPR 600/73|42 DPR 600/73||articolo-42|DECR|PRES_REP||||||||600|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art42|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-42|
Sentenza_U17_119_2022.json|4|||legislation|nazionale|7 L. 212/2000|7 L. 212/2000||articolo-7|L|||||||||212|2000|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2000;212~art7|legge:2000;212|legge:2000;212_articolo-7|
Sentenza_U17_119_2022.json|5|||caselaw|nazionale|Cass. 13 febbraio 2018 n. 3473|Cass. 13 febbraio 2018 n. 3473||||CORTE_CASS||||||||3473|||||2018-02-13||||||||||||
Sentenza_U24_1913_2022.json|1|||caselaw|nazionale|Sentenza n. 1913/2022 Depositato il 04/07/2022|Sentenza n. 1913/2022 Depositato il 04/07/2022|||SENT|COMM_TRIBUT_PROV||MI||08||||1913|2022|||||2022-07-04|||||||||||
Sentenza_U24_1913_2022.json|2|||legislation|nazionale|art 132 c.p.c.|art 132 c.p.c.|COD_PROC_CIV|articolo-132||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1940-10-28;1443:1~art132|COD_PROC_CIV|COD_PROC_CIV_articolo-132|
Sentenza_U24_1913_2022.json|3|||caselaw|nazionale|Commissione tributaria provinciale Milano – sez. 8° - in data 5.4.2022 la sentenza n. 1135/2022|Commissione tributaria provinciale Milano – sez. 8° - in data 5.4.2022 la sentenza n. 1135/2022|||SENT|COMM_TRIBUT_PROV||MI||8||||1135|2022||||2022-04-05||||||||||||
Sentenza_U24_1913_2022.json|4|||legislation|nazionale|art. 39, comma 2, lett. d-bis, del d.P.R. 29 settembre 1973, n. 600|art. 39, comma 2, lett. d-bis, del d.P.R. 29 settembre 1973, n. 600||articolo-39_comma-2_lettera-d-bis|DECR|PRES_REP||||||||600|||||1973-09-29|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art39-comma2-letdbis|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-39|presidente.repubblica:decreto:1973;600_articolo-39_comma-2
Sentenza_U24_1913_2022.json|5|||legislation|nazionale|51, comma 2, n. 3|51, comma 2, n. 3 e 4, del d.P.R. 26 ottobre 1972||articolo-51_comma-2_numero-3|DECR|PRES_REP|||||||||||||1972-10-26||||||||||||
Sentenza_U24_1913_2022.json|6|||legislation|nazionale|4, del d.P.R. 26 ottobre 1972|51, comma 2, n. 3 e 4, del d.P.R. 26 ottobre 1972||articolo-51_comma-2_numero-4|DECR|PRES_REP|||||||||||||1972-10-26||||||||||||
Sentenza_U24_1913_2022.json|7|||caselaw|nazionale|Cass., Sez. V, 11 aprile 2018, n. 8923|Cass., Sez. V, 11 aprile 2018, n. 8923||||CORTE_CASS||||5||||8923|||||2018-04-11||||||||||||
Sentenza_U24_1913_2022.json|8|||caselaw|nazionale|Cass., Sez. V, 12 dicembre 2018, n. 32129|Cass., Sez. V, 12 dicembre 2018, n. 32129||||CORTE_CASS||||5||||32129|||||2018-12-12||||||||||||
Sentenza_U24_1913_2022.json|9|||caselaw|nazionale|Cass., Sez. V, 13 luglio 2018, n. 18695|Cass., Sez. V, 13 luglio 2018, n. 18695||||CORTE_CASS||||5||||18695|||||2018-07-13||||||||||||
Sentenza_U24_1913_2022.json|10|||legislation|nazionale|artt. 15, comma 1, del dlgs. 546/1992|artt. 15, comma 1, del dlgs. 546/1992||articolo-15_comma-1|DLGS|||||||||546|1992|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;546~art15-comma1|decreto.legislativo:1992;546|decreto.legislativo:1992;546_articolo-15|decreto.legislativo:1992;546_articolo-15_comma-1
Sentenza_U24_1913_2022.json|11|||legislation|nazionale|92, comma secondo, c.p.c.|92, comma secondo, c.p.c.|COD_PROC_CIV|articolo-92_comma-2||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1940-10-28;1443:1~art92-comma2|COD_PROC_CIV|COD_PROC_CIV_articolo-92|COD_PROC_CIV_articolo-92_comma-2
Sentenza_U75_247_2021.json|1|||caselaw|nazionale|Sentenza n. 247/2021 Depositato il 03/06/2021|Sentenza n. 247/2021 Depositato il 03/06/2021|||SENT|||||||||247|2021|||||2021-06-03|||||||||||
Sentenza_U75_247_2021.json|2|||caselaw|nazionale|Commissione Tributaria Regionale dell'Umbria con sentenza n. 556/03/2018|Commissione Tributaria Regionale dell'Umbria con sentenza n. 556/03/2018|||SENT|COMM_TRIBUT_REG|UMB|||||||||556/03/2018|||||||||||||||
Sentenza_U75_247_2021.json|3|||legislation|nazionale|art. 96 cpc|art. 96 cpc|COD_PROC_CIV|articolo-96||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1940-10-28;1443:1~art96|COD_PROC_CIV|COD_PROC_CIV_articolo-96|
Sentenza_U75_247_2021.json|4|||legislation|nazionale|15, comma 2, Dlgs 546/92|15, comma 2, Dlgs 546/92||articolo-15_comma-2|DLGS|||||||||546|1992|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;546~art15-comma2|decreto.legislativo:1992;546|decreto.legislativo:1992;546_articolo-15|decreto.legislativo:1992;546_articolo-15_comma-2
Sentenza_U91_11131_2023.json|1|||caselaw|nazionale|2006 Sentenza n. 11131/2023 Depositato il 18/09/2023|2006 Sentenza n. 11131/2023 Depositato il 18/09/2023|||SENT|||||||||11131|2006|||||2023-09-18|||||||||||
Sentenza_U91_11131_2023.json|2|||unknown|nazionale|notificata il 20/08/2019 689/81|notificata il 20/08/2019 689/81|||L|||||||||689|1981||||||2019-08-20|||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1981;689|legge:1981;689||
Sentenza_U91_11131_2023.json|3|||legislation|nazionale|art. 24 comma 5° del dlgs 46/99|art. 24 comma 5° del dlgs 46/99||articolo-24_comma-5|DLGS|||||||||46|1999|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1999;46~art24-comma5|decreto.legislativo:1999;46|decreto.legislativo:1999;46_articolo-24|decreto.legislativo:1999;46_articolo-24_comma-5
Sentenza_U91_11131_2023.json|4|||unknown|nazionale|L.689/81|L.689/81|||L|||||||||689|1981||||||2019-08-20|||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1981;689|legge:1981;689||
Sentenza_U91_11131_2023.json|5|||legislation|nazionale|codice della strada||COD_STRADA|||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992-04-30;285|COD_STRADA||
